id_n,Year,newloss1,newloss2,newloss3,newloss4,newloss5
201,2022,22895361.94,23256743,25075279,33987892,24566040
202,2022,38056392.8,32231638,30936205,42347986,32895285
203,2022,0,22270761.81,0,0,0
204,2022,12797450,0,0,0,0
205,2022,20815165,0,0,0,0
206,2022,6804657664,412265222,608494029,0,794083840
207,2022,6727178,0,0,0,0
208,2022,16606508.25,31240899,29327302,27864632,24149176
209,2022,12792937.5,2635750,0,0,0
210,2022,0,0,0,0,0
211,2022,0,0,0,0,0
212,2022,0,0,0,0,0
213,2022,0,0,0,0,0
214,2022,21178084,22221840,97484500,0,0
215,2022,23734219.55,59768400,49078915,0,0
216,2022,4184512.5,5685250,0,0,0
217,2022,17469407.5,18284500,17061243,4659800,0
218,2022,0,0,0,0,0
219,2022,7980000,8400000,0,0,0
220,2022,137248525.4,529581409,558996200,489005068,585735286
221,2022,0,0,0,0,0
222,2022,54242874.18,47450376,44382357,43543163,83695360
223,2022,24606900,25644000,25512000,34444000,0
224,2022,40016992.5,49036420,49129750,17246580,28068840
225,2022,0,0,0,0,0
226,2022,0,0,23647500,16390298,0
227,2022,410308277.9,486835000,560115885,813852142,624169996
228,2022,0,16788912.95,0,0,0
229,2022,0,15153472,0,0,0
230,2022,0,25757500,25644000,34001950,11860915.99
231,2022,5291938.9,365446763,3636410170,2904021667,2971528952
232,2022,0,9758789,3924419,0,0
233,2022,0,5021396790,1376474643,3250497376,0
234,2022,0,0,0,0,0
235,2022,28839334.3,0,0,0,12625257
236,2022,1243745.7,0,0,0,0
237,2022,0,0,0,0,0
238,2022,242927103.4,318693010,0,0,0
239,2022,26772282.5,19567325,0,0,0
240,2022,36750300.65,0,0,0,0
241,2022,8526307,0,0,0,0
242,2022,648861906.3,99316941,0,0,0
243,2022,24812022.1,27654353,27693500,12725200,12707600
244,2022,93276781.7,81603727,0,0,0
245,2022,11450505.92,14178906,6928775,362257,0
246,2022,686852027.5,71824860,41906422,12066950,0
247,2022,23077740.1,38468745,83615248,20682600,0
248,2022,0,0,0,0,0
249,2022,0,0,0,0,0
250,2022,24628085,0,0,0,0
251,2022,99447442.1,0,0,0,0
252,2022,0,0,0,0,0
253,2022,6766289.5,6148033,14720079,5831193,0
254,2022,0,0,0,0,0
255,2022,112721023.1,579186291,8872708,15454387,7542697
256,2022,57520493.6,31874350,0,0,0
257,2022,122617432,0,0,0,0
258,2022,23462760.04,28841041,32696318,15683265,13637271
259,2022,0,48192470,0,30955246.37,0
260,2022,2684453314,4526683233,8209074241,12821926566,898415899
261,2022,0,0,0,0,0
262,2022,105607503.4,76104977,159918226,158968318,0
263,2022,6766289.5,6148033,14720079,5831193,0
264,2022,3744739.127,3986173,12634669,0,0
265,2022,523406665.9,911268896,1020473496,2438554939,2438554939
266,2022,92778539.8,0,0,0,0
267,2022,33836609.39,70946673,124837924,0,0
268,2022,17654962.45,0,0,0,0
269,2022,33896024.7,35135965,19194500,0,0
270,2022,6933385,33172050,24152564,0,0
271,2022,8138887.5,8522100,8543250,7490750,0
272,2022,0,0,0,0,0
273,2022,30759326.65,33262297,24504407,37367548,0
274,2022,384769470.9,507591241,516557906,123036346,0
275,2022,0,0,0,0,0
276,2022,0,0,0,0,0
277,2022,1416148.85,0,0,0,0
278,2022,0,0,0,0,0
279,2022,142597199.3,0,0,0,0
280,2022,12855914.92,20684679,35614662,43728240,2407330
281,2022,472200342.4,0,0,0,0
282,2022,604793086.2,0,0,0,0
283,2022,0,0,0,0,0
284,2022,54207262.98,0,0,0,0
285,2022,0,0,0,0,0
286,2022,33061140,0,0,0,0
287,2022,53741918.38,175702544,0,0,0
288,2022,278544557.8,0,0,0,0
289,2022,673766753.9,0,0,0,0
290,2022,0,0,0,0,0
291,2022,4693380,6088800,4854000,5852400,6054000
292,2022,81205517.04,0,0,0,0
293,2022,32658292.5,0,0,0,0
294,2022,15868317.4,0,0,0,0
295,2022,0,16378891,10965626.63,0,0
296,2022,0,0,0,0,0
297,2022,2697240,6105400,0,0,0
